target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1067.02	688	50.3914
NM_001011562.1	863	679.017	0	0
NM_001011563.1	2084	1900.02	6504	267.524
NM_001011564.2	1326	1142.02	895	61.2477
NM_001011565.1	3023	2839.02	19.0104	0.523315
NM_001011566.1	1503	1319.02	0	0
NM_001011567.1	4030	3846.02	0	0
NM_001011568.1	2077	1893.02	0	0
NM_001011570.1	582	398.069	715	140.374
NM_001011571.1	2093	1909.02	0	0
NM_001011572.1	2346	2162.02	3333	120.48
NM_001011573.1	3160	2976.02	0	0
NM_001011574.1	1940	1756.02	0	0
NM_001011575.1	2163	1979.02	22.8707	0.903169
NM_001011576.1	1195	1011.02	0	0
NM_001011577.1	2389	2205.02	0	0
NM_001011578.1	5441	5257.02	0	0
NM_001011579.1	1430	1246.02	6	0.376328
NM_001011580.1	1544	1360.02	3.97002	0.228133
NM_001011581.1	2439	2255.02	0	0
NM_001011582.1	356	175.866	532	236.412
NM_001011583.2	635	451.069	42755	7407.7
NM_001011584.1	1606	1422.02	0	0
NM_001011585.1	1638	1454.02	0	0
NM_001011586.1	2205	2021.02	0	0
NM_001011587.1	496	312.303	0	0
NM_001011588.1	724	540.017	0	0
NM_001011589.1	624	440.069	0	0
NM_001011590.1	574	390.108	1	0.200334
NM_001011591.1	584	400.069	0	0
NM_001011592.1	1590	1406.02	273.954	15.2274
NM_001011593.1	548	364.108	0	0
NM_001011594.1	4195	4011.02	0.265881	0.0051805
NM_001011595.1	2818	2634.02	0	0
NM_001011596.1	4100	3916.02	0	0
NM_001011597.1	2673	2489.02	0	0
NM_001011598.1	1624	1440.02	1	0.0542715
NM_001011599.1	1942	1758.02	0	0
NM_001011600.1	2052	1868.02	14476	605.629
NM_001011601.1	1830	1646.02	1	0.0474794
NM_001011602.1	2795	2611.02	10	0.299316
NM_001011603.1	1683	1499.02	285.087	14.8631
NM_001011604.3	685	501.069	3629.69	566.124
NM_001011605.1	1448	1264.02	5	0.309141
NM_001011606.1	1757	1573.02	1	0.0496828
NM_001011607.2	381	199.283	0	0
NM_001011608.1	1873	1689.02	171	7.91227
NM_001011610.1	1612	1428.02	1	0.0547275
NM_001011611.2	369	187.986	0	0
NM_001011612.1	304	130.315	0	0
NM_001011613.1	710	526.017	868	128.961
NM_001011614.1	688	504.069	0	0
NM_001011615.1	664	480.069	129	21.0003
NM_001011616.2	680	496.069	28	4.41119
NM_001011617.1	374	192.717	213	86.3771
NM_001011618.1	523	339.144	0	0
NM_001011619.1	1559	1375.02	0	0
NM_001011620.1	957	773.017	451029	45598.9
NM_001011621.1	3254	3070.02	0	0
NM_001011622.1	1529	1345.02	6	0.348628
NM_001011623.1	3376	3192.02	0	0
NM_001011624.1	4969	4785.02	2.11701	0.0345762
NM_001011625.2	1940	1756.02	0	0
NM_001011626.2	755	571.017	707.659	96.8532
NM_001011627.1	2520	2336.02	230	7.69469
NM_001011628.2	1386	1202.02	0	0
NM_001011629.1	14440	14256	6.46341	0.0354326
NM_001011630.1	630	446.069	6537.05	1145.3
NM_001011631.1	1741	1557.02	0	0
NM_001011632.2	2009	1825.02	2.09178e-05	8.95754e-07
NM_001011633.1	1533	1349.02	0	0
NM_001011634.2	3754	3570.02	0	0
NM_001011635.1	1447	1263.02	19	1.17567
NM_001011636.1	570	386.108	205256	41545.7
NM_001011637.1	1369	1185.02	0	0
NM_001011638.1	584	400.069	0	0
NM_001011639.2	1806	1622.02	4	0.192728
NM_001011640.1	991	807.017	4045	391.719
NM_001011641.1	970	786.017	22	2.18741
NM_001011643.1	2378	2194.02	0	0
NM_001011644.2	1200	1016.02	31.1914	2.39924
NM_001011650.1	2242	2058.02	0	0
NM_001011652.2	969	785.017	0	0
NM_001011653.2	898	714.017	0	0
NM_001011654.2	749	565.017	55.7626	7.71295
NM_001012429.1	672	488.069	56.3093	9.01651
NM_001012615.1	1097	913.017	0	0
NM_001012627.1	3153	2969.02	4.44222	0.11693
NM_001012962.1	3606	3422.02	2	0.0456759
NM_001012963.1	502	318.209	0	0
NM_001013006.1	2991	2807.02	0	0
NM_001013359.2	1964	1780.02	0	0
NM_001013361.1	4113	3929.02	0	0
NM_001014429.1	1427	1243.02	701	44.0738
NM_001014430.1	438	254.757	0	0
NM_001014983.1	3250	3066.02	0	0
NM_001014991.1	7242	7058.02	0	0
NM_001014992.2	2498	2314.02	42.6737	1.44123
NM_001014993.1	1386	1202.02	0	0
NM_001014994.1	1892	1708.02	131	5.99402
NM_001024697.1	1793	1609.02	0	0
NM_001032361.1	3585	3401.02	15.3766	0.353339
NM_001037318.2	2515	2331.02	0	0
NM_001039968.1	1349	1165.02	0	0
NM_001040203.1	644	460.069	6	1.01922
NM_001040204.1	793	609.017	63.1048	8.0979
NM_001040205.1	698	514.069	3	0.456078
NM_001040206.1	682	498.069	7	1.09837
NM_001040207.1	1179	995.017	3	0.23563
NM_001040208.1	582	398.069	2974	583.878
NM_001040209.1	588	404.069	0	0
NM_001040220.1	483	299.334	0	0
NM_001040221.1	459	275.445	3.04411	0.863703
NM_001040223.1	555	371.108	72086	15180.6
NM_001040224.1	399	216.695	16444	5930.58
NM_001040225.1	407	224.253	0	0
NM_001040226.1	432	248.833	1	0.314074
NM_001040227.1	724	540.017	0	0
NM_001040229.1	453	269.445	0	0
NM_001040230.1	13107	12923	109	0.659177
NM_001040231.1	363	182.303	0	0
NM_001040233.1	1647	1463.02	302.023	16.1336
NM_001040234.1	1500	1316.02	0	0
NM_001040235.2	6077	5893.02	0	0
NM_001040236.1	1767	1583.02	0	0
NM_001040237.1	5107	4923.02	3.69847	0.0587124
NM_001040255.1	1893	1709.02	0	0
NM_001040256.1	767	583.017	0	0
NM_001040257.1	1554	1370.02	0	0
NM_001040258.1	1250	1066.02	14.5877	1.06946
NM_001040259.1	1743	1559.02	141	7.06818
NM_001040262.2	438	254.757	1	0.30677
NM_001040263.1	1550	1366.02	157	8.9822
NM_001040264.1	1600	1416.02	385	21.2487
NM_001040265.1	1689	1505.02	28.344	1.47183
NM_001040266.2	1599	1415.02	0	0
NM_001040267.1	1895	1711.02	0	0
NM_001040269.1	1397	1213.02	0	0
NM_001040270.1	509	325.177	166	39.8958
NM_001040277.1	2150	1966.02	2.4148	0.0959915
NM_001040681.1	2499	2315.02	42	1.41786
NM_001042458.1	1737	1553.02	0	0
NM_001042460.1	1794	1610.02	36.6399	1.77854
NM_001077808.1	5328	5144.02	0	0
NM_001077809.1	1344	1160.02	0	0
NM_001077810.1	354	173.99	10	4.49175
NM_001077811.1	1287	1103.02	0	0
NM_001077812.1	1470	1286.02	0	0
NM_001077813.1	3226	3042.02	16.9603	0.435723
NM_001077814.1	387	205.099	0.886693	0.33787
NM_001077815.1	1855	1671.02	0	0
NM_001077816.1	1530	1346.02	0	0
NM_001077817.1	1194	1010.02	0	0
NM_001077818.1	1707	1523.02	0	0
NM_001077819.1	378	196.403	0	0
NM_001077820.1	351	171.148	0	0
NM_001077821.1	4097	3913.02	0	0
NM_001077822.1	1533	1349.02	0	0
NM_001077823.2	516	332.144	23.0692	5.42807
NM_001077824.1	1842	1658.02	0	0
NM_001077825.1	1158	974.017	0	0
NM_001078661.1	315	139.671	0	0
NM_001079560.1	1607	1423.02	0	0
NM_001079561.1	1701	1517.02	0	0
NM_001080094.2	2123	1939.02	0	0
NM_001080095.1	1590	1406.02	0	0
